epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
165,431.36,1.13651,0.82023,1.10523,0.86797,0.63358,0.71409,0.50636,1.0092,0.71518,1.05251,0.000761415,0.000761415,0.000761415
166,433.981,1.15828,0.86843,1.1108,0.8556,0.6544,0.72503,0.50919,1.00412,0.71337,1.03546,0.000760515,0.000760515,0.000760515
167,436.587,1.14165,0.83364,1.07381,0.84892,0.64587,0.71473,0.50765,1.00848,0.6992,1.0328,0.000759615,0.000759615,0.000759615
168,439.17,1.10819,0.81361,1.07927,0.86102,0.63017,0.71263,0.49537,1.04185,0.71805,1.03546,0.000758715,0.000758715,0.000758715
169,441.712,1.14747,0.86158,1.0836,0.85461,0.64017,0.71408,0.51137,0.98891,0.70706,1.03109,0.000757815,0.000757815,0.000757815
170,444.26,1.12087,0.82166,1.10173,0.79497,0.6671,0.72243,0.51462,0.98259,0.70722,1.02054,0.000756915,0.000756915,0.000756915
171,446.869,1.14766,0.83493,1.10978,0.8084,0.64961,0.71626,0.50606,1.01473,0.72377,1.03198,0.000756015,0.000756015,0.000756015
172,449.47,1.12552,0.86415,1.07036,0.84636,0.63214,0.70158,0.50413,0.99659,0.69204,1.023,0.000755115,0.000755115,0.000755115
173,452.038,1.14452,0.84603,1.07902,0.84132,0.64993,0.71978,0.51051,0.9739,0.68743,1.02514,0.000754215,0.000754215,0.000754215
174,454.63,1.12828,0.81934,1.0681,0.84595,0.64429,0.71638,0.51079,0.98475,0.75696,1.02118,0.000753316,0.000753316,0.000753316
175,457.237,1.069,0.79,1.05922,0.81939,0.63031,0.70754,0.50915,0.97798,0.73572,1.01719,0.000752416,0.000752416,0.000752416
176,459.813,1.15684,0.85654,1.07913,0.81726,0.6168,0.69945,0.49138,1.00317,0.72188,1.02541,0.000751516,0.000751516,0.000751516
177,462.405,1.12935,0.85229,1.07866,0.82233,0.65473,0.71606,0.50455,0.98266,0.69982,1.01868,0.000750616,0.000750616,0.000750616
178,465.081,1.07813,0.83017,1.061,0.86291,0.61629,0.70909,0.50935,0.95807,0.74385,1.00804,0.000749716,0.000749716,0.000749716
